observationID,mediaID,filePath,timestamp,observationType,scientificName,count,lifeStage,sex,behavior,observationComments
c4f46fa0,e88f45ba,data/CAM 1 PT 1/RCNX0229.JPG,2025-07-21T23:11:10-09:00,human,test,2,adult,female,running,not much
e3db1a34,30ccbb19,data/CAM 1 PT 1/RCNX0230.JPG,2025-07-21T23:11:11-09:00,unclassified,,,,,,
be577c39,7d9f863e,data/CAM 1 PT 1/RCNX0231.JPG,2025-07-21T23:11:11-09:00,unclassified,,,,,,
875cc45f,f95b80d5,data/CAM 1 PT 1/RCNX0232.JPG,2025-07-21T23:11:14-09:00,unclassified,,,,,,
6cf27f01,87e405d5,data/CAM 1 PT 1/RCNX0235.JPG,2025-07-22T02:26:16-09:00,unclassified,,,,,,
95737286,6247d27b,data/CAM 1 PT 1/RCNX0236.JPG,2025-07-22T02:26:17-09:00,unclassified,,,,,,
844cc6ff,d9d2b263,data/CAM 1 PT 1/RCNX0237.JPG,2025-07-22T02:26:17-09:00,unclassified,,,,,,
2355816f,ddea2103,data/CAM 1 PT 1/RCNX0238.JPG,2025-07-22T02:26:18-09:00,unclassified,,,,,,
b065c33d,89210b74,data/CAM 1 PT 1/RCNX0239.JPG,2025-07-22T02:26:19-09:00,unclassified,,,,,,
6babc5e7,65656d08,data/CAM 1 PT 1/RCNX0240.JPG,2025-07-22T02:26:19-09:00,unclassified,,,,,,
a3943641,78d88da5,data/CAM 1 PT 1/RCNX0241.JPG,2025-07-22T02:26:20-09:00,unclassified,,,,,,
a5886eb0,b1285d1a,data/CAM 1 PT 1/RCNX0242.JPG,2025-07-22T02:26:21-09:00,unclassified,,,,,,
a75a0fb3,28214a0b,data/CAM 1 PT 1/RCNX0244.JPG,2025-07-22T02:26:56-09:00,unclassified,,,,,,
16366fd0,07025197,data/CAM 1 PT 1/RCNX0245.JPG,2025-07-22T02:26:57-09:00,unclassified,,,,,,
ba939449,36c3f6c0,data/CAM 1 PT 1/RCNX0246.JPG,2025-07-22T02:26:57-09:00,unclassified,,,,,,
4733088a,6270cb8e,data/CAM 1 PT 1/RCNX0247.JPG,2025-07-22T02:26:58-09:00,unclassified,,,,,,
fdd91894,8b0b1c26,data/CAM 1 PT 1/RCNX0248.JPG,2025-07-22T02:26:59-09:00,unclassified,,,,,,
46fba485,e360b36d,data/CAM 1 PT 1/RCNX0250.JPG,2025-07-22T02:27:26-09:00,unclassified,,,,,,
9aa76ce5,bb41fed7,data/CAM 1 PT 1/RCNX0253.JPG,2025-07-22T05:57:19-09:00,unclassified,,,,,,
2df41250,62265db0,data/CAM 1 PT 1/RCNX0254.JPG,2025-07-22T05:57:20-09:00,unclassified,,,,,,
fded7ce8,4db00ee2,data/CAM 1 PT 1/RCNX0255.JPG,2025-07-22T05:57:20-09:00,unclassified,,,,,,
aba35fc2,5f873d91,data/CAM 1 PT 1/RCNX0442.JPG,2025-07-23T02:59:07-09:00,unclassified,,,,,,
e0fa3df0,2b7c7340,data/CAM 1 PT 1/RCNX0443.JPG,2025-07-23T02:59:08-09:00,unclassified,,,,,,
ac6a4484,de28d774,data/CAM 1 PT 1/RCNX0444.JPG,2025-07-23T02:59:08-09:00,unclassified,,,,,,
ae9f07c3,11d5f89c,data/CAM 1 PT 1/RCNX0445.JPG,2025-07-23T02:59:09-09:00,unclassified,,,,,,
6f21809a,00f6f936,data/CAM 1 PT 1/RCNX0446.JPG,2025-07-23T02:59:10-09:00,unclassified,,,,,,
56e62eee,b8919587,data/CAM 1 PT 1/RCNX0447.JPG,2025-07-23T02:59:11-09:00,unclassified,,,,,,
6f6afb32,b64b116a,data/CAM 1 PT 1/RCNX0448.JPG,2025-07-23T05:43:00-09:00,unclassified,,,,,,
5600922f,cc30cc3f,data/CAM 1 PT 1/RCNX0449.JPG,2025-07-23T05:43:01-09:00,unclassified,,,,,,
95dc82bd,66602913,data/CAM 1 PT 1/RCNX0450.JPG,2025-07-23T05:43:01-09:00,unclassified,,,,,,
42d39f0d,b78f6aec,data/CAM 3 PT 3/RCNX0190.JPG,2025-07-21T18:52:13-09:00,unclassified,,,,,,
02c65e43,7a73afb2,data/CAM 3 PT 3/RCNX0191.JPG,2025-07-21T18:52:14-09:00,unclassified,,,,,,
d1161d4f,65a0cd2b,data/CAM 3 PT 3/RCNX0192.JPG,2025-07-21T18:52:15-09:00,unclassified,,,,,,
2775f789,b839d226,data/CAM 3 PT 3/RCNX0193.JPG,2025-07-21T22:28:47-09:00,unclassified,,,,,,
76163e83,f118d897,data/CAM 3 PT 3/RCNX0194.JPG,2025-07-21T22:28:47-09:00,unclassified,,,,,,
2058d870,f0963843,data/CAM 3 PT 3/RCNX0238.JPG,2025-07-22T09:29:41-09:00,unclassified,,,,,,
24cf69ef,8186e691,data/CAM 3 PT 3/RCNX0239.JPG,2025-07-22T09:29:42-09:00,unclassified,,,,,,
0f077ca7,565799a6,data/CAM 3 PT 3/RCNX0240.JPG,2025-07-22T09:29:42-09:00,unclassified,,,,,,
e14205cd,e81ebf57,data/CAM 3 PT 3/RCNX0241.JPG,2025-07-22T09:29:43-09:00,unclassified,,,,,,
931b4bc2,01fe3c7c,data/CAM 3 PT 3/RCNX0242.JPG,2025-07-22T09:29:44-09:00,unclassified,,,,,,
f215cfa0,da4d3da4,data/CAM 3 PT 3/RCNX0243.JPG,2025-07-22T09:29:45-09:00,unclassified,,,,,,
b54f3aa4,a51521f7,data/CAM 3 PT 3/RCNX0244.JPG,2025-07-22T09:35:20-09:00,unclassified,,,,,,
2088f2f9,e04dc2ee,data/CAM 3 PT 3/RCNX0245.JPG,2025-07-22T09:35:21-09:00,unclassified,,,,,,
700943bc,c1a0408a,data/CAM 3 PT 3/RCNX0246.JPG,2025-07-22T09:35:22-09:00,unclassified,,,,,,
aba58fa7,5be3f65f,data/CAM 3 PT 3/RCNX0247.JPG,2025-07-22T09:35:25-09:00,unclassified,,,,,,
38054009,c8177c5d,data/CAM 3 PT 3/RCNX0248.JPG,2025-07-22T09:35:25-09:00,unclassified,,,,,,
647dc4e9,165c9b70,data/CAM 3 PT 3/RCNX0249.JPG,2025-07-22T09:35:26-09:00,unclassified,,,,,,
cfa6f7cb,37c74765,data/CAM 3 PT 3/RCNX0250.JPG,2025-07-22T09:35:30-09:00,unclassified,,,,,,
d424782b,74da445f,data/CAM 3 PT 3/RCNX0251.JPG,2025-07-22T09:35:31-09:00,unclassified,,,,,,
bae7c3c9,945d8af0,data/CAM 3 PT 3/RCNX0252.JPG,2025-07-22T09:35:32-09:00,unclassified,,,,,,
60db1c3b,05708934,data/CAM 3 PT 3/RCNX0253.JPG,2025-07-22T09:35:33-09:00,unclassified,,,,,,
